author,sum_art
Kathleen M. Swigger,7
Robert Ward,4
Susan English,4
Mike King,4
David H. Jonassen,5
Hermann A. Maurer,74
Dominic A. Clark,6
Paul J. Krause,25
Naoko Tosa,3
Ryohei Nakatsu,11
Ina Wagner,13
Wallace Feurzeig,8
Sue Gollifer,4
Pelle Ehn,3
Antonios Michailidis,7
Anthony Grayham Deakin,3
Mary C. Dyson,5
Han Reichgelt,8
Anna Cicognani,4
Stuart Mealing,6
Masoud Yazdani,13
Claude Ghaoui,6
Lone Malmborg,4
Blay Whitby,4
Victoria Vesna,4
John A. Vince,4
Daniel M. Russell,3
David Cooper,5
João G. M. Gonçalves,3
David C. Hogg,10
Mika Luma Tuomola,3
John G. Hughes,14
Brian Jones,5
Neil Williams,4
Gordon S. Blair,38
Geoff Coulson,27
Nigel Davies,22
Ernest A. Edmonds,23
Ian Tilsed,3
Ray McAleese,4
Dan Shapiro,4
Al Cuoco,3
Achilles D. Kameas,3
Panayiotis E. Pintelas,11
Olivia R. Liu Sheng,24
Paul Jen-Hwa Hu,6
Jonas Löwgren,7
Erik Stolterman,6
Min Zheng,3
Derek Partridge,17
Stefano A. Cerri,3
Graziella Tonfoni,4
E. Paul Goldenberg,5
Nadia Magnenat-Thalmann,70
Igor S. Pandzic,10
Shona Douglas,3
Maurice Yolles,3
Helmut Heil,6
Thilo Weichert,7
Marit Köhntopp,4
Andreas Pfitzmann,16
Rüdiger Weis,7
Dirk Fox,17
Stefan Kelm,3
Arjen K. Lenstra,8
Eric R. Verheul,3
Karl Rihaczek,27
Johann Bizer,18
Thorsten Vehslage,4
Friedrich von Zezschwitz,4
Annette Hillebrand,3
Franz Büllingen,3
Volker Hammer,4
Thomas Probst,3
Joachim Jacob,6
Astrid Albrecht,3
Ulrich Pordesch,7
Rüdiger Grimm,8
Günther Welsch,4
Helmut Bäumler,6
Alexander Dix,4
Hans-Jürgen Garstka,6
Alexander Roßnagel,9
Oliver Pfaff,3
Hannes Federrath,6
Ingo Ruhmann,3
Marie-Theres Tinnefeld,4
Bernd Blobel,7
Michael J. Schneider,4
Christoph Thiel,5
Thomas Hetschold,3
Christof Paar,5
Erich Schweighofer,4
Holger Petersen 0001,14
Alexander W. Röhm,4
Werner Geyer,3
Jana Dittmann,4
Kai Rannenberg,8
Alfred Büllesbach,3
Walter Fumy,3
Reinhard Posch,15
Andreas Bertsch,4
Lorrie Faith Cranor,9
Rita Marcella,9
Graeme Baxter,9
David R. Millen,4
Susan M. Dray,7
Julian Warner,15
David Ellis,12
Peter Williams,6
David Nicholas,8
Peter Willett 0002,66
Nicholas Zvegintzov,4
David R. Streatfield,3
Tom Wilson 0001,3
Tony Cawkell,6
Schubert Foo,23
Monica Landoni,4
Lyn Robinson,3
Lyn Elliot Sherwood,3
Paul Huntington,3
Nat Lievesley,3
Ralph Adam,3
David Bawden,18
Reijo Savolainen,5
Ia C. McIlwaine,3
Pieter van Brakel,3
Murat Karamuftuoglu,3
Nick Moore,5
Matthias Blume,3
Andrew W. Appel,16
Lawrence A. Crowl,3
Thomas J. LeBlanc,7
F. Warren Burton,14
Laura K. Dillon,17
Gopal Gupta,18
Bharat Jayaraman,15
Jens Palsberg,37
Scott F. Smith 0001,10
Evan Tick,14
Ian T. Foster,40
Charles Consel,15
Siau-Cheng Khoo,4
Matthias Felleisen,13
Suresh Jagannathan,7
Richard Kelsey,3
Gerard Tel,11
Friedemann Mattern,8
Bruce J. McKenzie,3
Maurice Herlihy,26
Jeannette M. Wing,21
Andrew K. Wright,5
Richard C. Waters,13
Alan Carle,8
Lori L. Pollock,11
Siddhartha Chatterjee,12
John R. Gilbert,16
Robert Schreiber,16
Shang-Hua Teng,36
Shmuel Sagiv,6
Thomas W. Reps,18
Reinhard Wilhelm,14
Martin C. Rinard,11
Pedro C. Diniz,5
John C. Mitchell,24
Anthony M. Sloane,3
Martín Abadi,39
Leslie Lamport,20
Jan Heering,14
Paul Klint,16
J. Rekers,5
Dhananjay M. Dhamdhere,10
Dominic Duggan,5
Pascal Van Hentenryck,35
Viswanath Ramachandran,3
Richard Gerber,10
Seongsoo Hong,8
